frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"6659","Sep 28, 2020 20:58:28.372537000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"6660","Sep 28, 2020 20:58:28.987541000 Eastern Daylight Time","b0:be:76:db:c4:c8","ff:ff:ff:ff:ff:ff",,,
"6661","Sep 28, 2020 20:58:28.990094000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"6662","Sep 28, 2020 20:58:31.446590000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"6663","Sep 28, 2020 20:58:32.058961000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"6664","Sep 28, 2020 20:58:34.311729000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"6665","Sep 28, 2020 20:58:35.130923000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"6666","Sep 28, 2020 20:58:37.383789000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"6667","Sep 28, 2020 20:58:37.997704000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"6668","Sep 28, 2020 20:58:40.455817000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"6669","Sep 28, 2020 20:58:41.070141000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"6670","Sep 28, 2020 20:58:42.504768000 Eastern Daylight Time","02:55:da:05:26:14","01:00:5e:7f:ff:fa","192.168.11.114","239.255.255.250","17"
"6671","Sep 28, 2020 20:58:43.323318000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"6672","Sep 28, 2020 20:58:44.141762000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"6673","Sep 28, 2020 20:58:46.394926000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
"6674","Sep 28, 2020 20:58:47.009405000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"6675","Sep 28, 2020 20:58:50.081447000 Eastern Daylight Time","84:0d:8e:6b:c0:3d","ff:ff:ff:ff:ff:ff","192.168.11.121","255.255.255.255","17"
"6676","Sep 28, 2020 20:58:52.334522000 Eastern Daylight Time","60:01:94:cb:ad:26","ff:ff:ff:ff:ff:ff","192.168.11.137","255.255.255.255","17"
